unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+1204D,𒁍,bu,BU,BU | BUR12 | DIM13 | DUL10 | DUR7 | GAZIBU | GAZIMBI | GAZINBI | GAZINBU | GI27 | GID2 | GIDA2 | GIDI3 | GIDIM3 | GIM7 | GIT2 | GIŢ2 | GUZ2 | ILDUMX(BU) | KID10 | KIM3 | KIT10 | MADAL | MADLA | MADLU | MALLA | MUDLA | MUDLU | MUDRA3 | MUDRU3 | MUDUL | MULLA | MULLU | NUN3 | PI8 | PU | QID2 | QIT2 | RA5 | SIR2 | SIX(BU) | SU13 | SUD4 | SUGX(BU) | SURX(BU) | SUŠ3 | TUR8 | bu | bur12 | dim13 | dul10 | dur7 | gazibu | gazimbi | gazinbi | gazinbu | gi27 | gid2 | gida2 | gidi3 | gidim3 | gim7 | git2 | giţ2 | guz2 | ildumx(BU) | kid10 | kim3 | kit10 | madal | madla | madlu | malla | mudla | mudlu | mudra3 | mudru3 | mudul | mulla | mullu | nun3 | pi8 | pu | qid2 | qit2 | ra5 | sir2 | six(BU) | su13 | sud4 | sugx(BU) | surx(BU) | suš3 | tur8 | ŠAŠKI | ŠAŠKU | ŠER2 | ŠIR2 | ŠUD2 | šaški | šašku | šer2 | šir2 | šud2
U+1204E,𒁎,bu / bu ab,|BU&BU.AB|,sirsir
U+1204F,𒁏,bu / bu un,|BU&BU.KALAM@g|,gutir | kide
U+12050,𒁐,bu crossing bu,|BU%BU|,unu₁₂ | sirsirₓ
U+12051,𒁑,bulug,BULUG,BU9 | BULUG | BULUĜ | MAGAR | MAGARA | MANGARA | MUŠ6 | NAGARX(BULUG) | NIĜINX(BULUG) | bu9 | bulug | buluĝ | magar | magara | mangara | muš6 | nagarx(BULUG) | niĝinx(BULUG)
U+12052,𒁒,bulug / bulug,|BULUG&BULUG|,mebulug₂ | menbulug₂ | minbulug₂ | šembulug? | šimbulug?
U+12053,𒁓,bur,BUR,BUR | BURU | LIMX(BUR) | PUR | PURU | bur | buru | limx(BUR) | pur | puru
U+12054,𒁔,bur₂,BUR2,BAL2 | BU8 | BUL2 | BULUG2 | BUR2 | BURU2 | DU9 | DUN5 | PUL2 | SU16 | SUN5 | UŠU | UŠUM | bal2 | bu8 | bul2 | bulug2 | bur2 | buru2 | du9 | dun5 | pul2 | su16 | sun5 | ušu | ušum | ŠUM5 | šum5
U+12055,𒁕,da,DA,AX(DA) | DA | DIX(DA) | DU20 | IDI3 | LE10 | LI10 | TA2 | ax(DA) | da | dix(DA) | du20 | idi3 | le10 | li10 | ta2 | ŢA | ţa
U+12056,𒁖,dag,DAG,BAR3 | BARA3 | BARAG2 | DA8 | DAG | DAK | DAQ | PAR3 | PARA3 | TAG2 | TAK2 | TAQ2 | bar3 | bara3 | barag2 | da8 | dag | dak | daq | par3 | para3 | tag2 | tak2 | taq2 | ŢAK | ţak
U+12057,𒁗,dag kisim₅ × a + mash,DAG.KISIM5×A+MAŠ,DAG.KISIM5×A+MAŠ | MASSA2 | massa2 | DAG.KISIM5×AxMAŠ
U+12058,𒁘,dag kisim₅ × amar,DAG.KISIM5×AMAR,DAG.KISIM5×AMAR | GARIM2 | garim2 | ĜARIM2 | ĝarim2
U+12059,𒁙,dag kisim₅ × balag,DAG.KISIM5×BALAG,DAG.KISIM5×BALAG | ŠARAN | šaran
U+1205A,𒁚,dag kisim₅ × bi,DAG.KISIM5×BI,DAG.KISIM5×BI | HARA4 | HARU4 | HARX(|DAG.KISIM5×BI|) | hara4 | haru4 | harx(|DAG.KISIM5×BI|)
U+1205B,𒁛,dag kisim₅ × ga,DAG.KISIM5×GA,AKAN | AKANI | DAG.KISIM5×GA | HARAX(|DAG.KISIM5×GA|) | KISIM7 | SUBX(|DAG.KISIM5×GA|) | UBUR | akan | akani | harax(|DAG.KISIM5×GA|) | kisim7 | subx(|DAG.KISIM5×GA|) | ubur
U+1205C,𒁜,dag kisim₅ × ga + mash,DAG.KISIM5×GA+MAŠ,DAG.KISIM5×GA+MAŠ | MASSA | massa | DAG.KISIM5×GAxMAŠ
U+1205D,𒁝,dag kisim₅ × gi,DAG.KISIM5×GI,DAG.KISIM5×GI | KEŠ7 | KIŠI7 | keš7 | kiši7
U+1205E,𒁞,dag kisim₅ × gir₂,DAG.KISIM5×GIR2,DAG.KISIM5×GIR2 | KEŠ8 | KIRIM | KISIM4 | KISIX(|DAG.KISIM5×GIR2|) | KIŠI8 | keš8 | kirim | kisim4 | kisix(|DAG.KISIM5×GIR2|) | kiši8
U+1205F,𒁟,dag kisim₅ × gud,DAG.KISIM5×GUD,DAG.KISIM5×GUD | UDUL5 | UTUL5 | udul5 | utul5
U+12060,𒁠,dag kisim₅ × ha,DAG.KISIM5×HA,DAG.KISIM5×HA | HULUM3 | HUNIN | hulum3 | hunin
U+12061,𒁡,dag kisim₅ × ir,DAG.KISIM5×IR,DAG.KISIM5×IR | UBUR3 | ubur3
U+12062,𒁢,dag kisim₅ × ir + lu,DAG.KISIM5×IR+LU,DAG.KISIM5×IR+LU | UBUR4 | ubur4 | DAG.KISIM5×IRxLU
U+12063,𒁣,dag kisim₅ × kak,DAG.KISIM5×KAK,DAG.KISIM5×KAK | GABAR2 | KABAR2 | PAX(|DAG.KISIM5×KAK|) | gabar2 | kabar2 | pax(|DAG.KISIM5×KAK|)
U+12064,𒁤,dag kisim₅ × la,DAG.KISIM5×LA,DAG.KISIM5×LA | LAHTA6 | LAHTAN6 | lahta6 | lahtan6
U+12065,𒁥,dag kisim₅ × lu,DAG.KISIM5×LU,DAG.KISIM5×LU | UBUR2 | ubur2
U+12066,𒁦,dag kisim₅ × lu + mash₂,DAG.KISIM5×LU+MAŠ2,AMAŠ | AMAŠA | DAG.KISIM5×LU+MAŠ2 | HARAX(|DAG.KISIM5×LU+MAŠ2|) | KISIM3 | UA4 | UDUL3 | UTUA2 | UTUL3 | UTUWA2 | amaš | amaša | harax(|DAG.KISIM5×LU+MAŠ2|) | kisim3 | ua4 | udul3 | utua2 | utul3 | utuwa2 | DAG.KISIM5×LUxMAŠ2 | HARAX(|DAG.KISIM5×LUxMAŠ2|) | harax(|DAG.KISIM5×LUxMAŠ2|)
U+12067,𒁧,dag kisim₅ × lum,DAG.KISIM5×LUM,DAG.KISIM5×LUM | HULUM | hulum
U+12068,𒁨,dag kisim₅ × ne,DAG.KISIM5×NE,DAG.KISIM5×NE | GE28 | ge28 | ŠURIN4 | ŠURUN4 | šurin4 | šurun4
U+12069,𒁩,dag kisim₅ × pap + pap,DAG.KISIM5×PAP+PAP,DAG.KISIM5×PAP+PAP | RAPIKU | RAPIQU | rapiku | rapiqu | DAG.KISIM5×PAPxPAP
U+1206A,𒁪,dag kisim₅ × si,DAG.KISIM5×SI,DAG.KISIM5×SI | KISIM2 | kisim2
U+1206B,𒁫,dag kisim₅ × tak₄,DAG.KISIM5×TAK4,DAG.KISIM5×TAK4 | ZIBIN | zibin
U+1206C,𒁬,dag kisim₅ × u₂ + gir₂,DAG.KISIM5×U2+GIR2,DAG.KISIM5×U2+GIR2 | HARA5 | HARUB | KEŠ9 | KISIM | KIŠI9 | ZIBIN2 | hara5 | harub | keš9 | kisim | kiši9 | zibin2 | ŠARAN2 | ŠARIN | ŠURIN5 | ŠURUN5 | šaran2 | šarin | šurin5 | šurun5 | DAG.KISIM5×U2xGIR2
U+1206D,𒁭,dag kisim₅ × ush,DAG.KISIM5×UŠ,DAG.KISIM5×UŠ | UDUL6 | UTUA | UTUL6 | UTUWA | udul6 | utua | utul6 | utuwa
U+1206E,𒁮,dam,DAM,DA4 | DAM | DAMA | DUM3 | LAM3 | TA4 | TAM2 | TUM10 | da4 | dam | dama | dum3 | lam3 | ta4 | tam2 | tum10 | ŢA4 | ŢAM | ţa4 | ţam
U+1206F,𒁯,dar,DAR,DAR | DAX(DAR) | DAŠ4 | DIR2 | GUN3 | GUNU3 | GUX(DAR) | TAR2 | TIR3 | dar | dax(DAR) | daš4 | dir2 | gun3 | gunu3 | gux(DAR) | tar2 | tir3 | ŢAR2 | ŢIR4 | ţar2 | ţir4
U+12070,𒁰,dara₃,DARA3,DAR3 | DARA3 | DURAH | TAR3 | TARA3 | TARAH | dar3 | dara3 | durah | tar3 | tara3 | tarah | ŢAR3 | ţar3
U+12071,𒁱,dara₄,DARA4,DAR4 | DARA4 | DURAHX(DARA4) | GANA6 | GANAM6 | INNA | LAHAR2 | LAHRUM2 | NINA2 | NINNAX(DARA4) | TARAHX(DARA4) | U10 | UA2 | dar4 | dara4 | durahx(DARA4) | gana6 | ganam6 | inna | lahar2 | lahrum2 | nina2 | ninnax(DARA4) | tarahx(DARA4) | u10 | ua2
U+12072,𒁲,di,DI,DE | DI | DUX(DI) | SA2 | SAL2 | SALAGUD | SALGUD | SALIM | SE8 | SI8 | SILIM | SILIMA | SILIX(DI) | SIM3 | SISAX(DI) | TE10 | TI4 | de | di | dux(DI) | sa2 | sal2 | salagud | salgud | salim | se8 | si8 | silim | silima | silix(DI) | sim3 | sisax(DI) | te10 | ti4 | ŚA2 | śa2 | ŠUL3 | šul3 | ŢE | ŢI | ţe | ţi
U+12073,𒁳,dib,DIB,DAB | DABA | DABE | DAP | DEB | DIB | DIBI | DIP | DIX(DIB) | DUL8 | TIB | TIP | dab | daba | dabe | dap | deb | dib | dibi | dip | dix(DIB) | dul8 | tib | tip | ŢAB3 | ŢIB | ŢIP | ţab3 | ţib | ţip
U+12074,𒁴,dim,DIM,DI11 | DIM | DUM4 | MUN3 | TAM3 | TI3 | TIM | TUM8 | di11 | dim | dum4 | mun3 | tam3 | ti3 | tim | tum8 | ŢIM | ţim
U+12075,𒁵,dim × she,DIM×ŠE,DIM×ŠE | GAKKUL2 | KAKKUL2 | MUN | MUNU | gakkul2 | kakkul2 | mun | munu
U+12076,𒁶,dim₂,DIM2,/ŠITLAM/ | /šitlam/ | DEM2 | DIM2 | DIMA2 | DIX(DIM2) | GE18 | GEM | GEN7 | GI18 | GIM | GIMI | GIN7 | KE5 | KI5 | KIM | KIN8 | MUŠDA | MUŠDAM | MUŠDAMA | QIM | TAM6 | dem2 | dim2 | dima2 | dix(DIM2) | ge18 | gem | gen7 | gi18 | gim | gimi | gin7 | ke5 | ki5 | kim | kin8 | mušda | mušdam | mušdama | qim | tam6 | ŠIDI | ŠIDIM | ŠILAMX(DIM2) | ŠITALAMX(DIM2) | ŠITIM | šidi | šidim | šilamx(DIM2) | šitalamx(DIM2) | šitim | ŢIM2 | ţim2
U+12077,𒁷,din,DIN,DAN5 | DEN | DIN | DINI | GURUN8 | IDINX(DIN) | KURUN2 | TEN2 | TILX(DIN) | TIM3 | TIN | dan5 | den | din | dini | gurun8 | idinx(DIN) | kurun2 | ten2 | tilx(DIN) | tim3 | tin | ŢIN | ţin
U+12078,𒁸,din kaskal u gunu dish,|DIN.KASKAL.U@g.DIŠ|,sagkurun | saŋkurun
U+12079,𒁹,dish,DIŠ,anₓ | ana | aš₁₀ | barig | daš₂ | deš | diš | diša | duš₂ | eš₄ | ge₃ | il₄ | ili₆ | iš₄ | m | makaš | makkaš | muš₇ | nigida | saŋtaₓ | saŋtak₄ | salubug₂ | salugub₂ | sandak₄ | santa₄ | santag₄ | santak₄ | šantag | šantak | tal₄ | taš₂ | til₅ | tiš | tiz | ṭiš | uₓ | ukitₓ | uš₉ | 6(ban₂) | 1(barig) | 1(bariga) | 1(diš) | barig@c | bariga@c | diš@c | 1(aš@c@90) | 1/2(aš@c@90) | 1(barig@c) | 1(bariga@c) | 1(diš@c) | 1/2(iku@c) | diš@f
U+1207A,𒁺,du,DU,ARAGUB | DE6 | DI6 | DU | DULX(DU) | ER10 | GE13 | GEN | GIM6 | GIN | GINAX(DU) | GIR7 | GUB | GUBA | GUBU | GUP | IM6 | KAŠ5 | KIM6 | KIN7 | KUB | KUP | KURX(DU) | KUX(DU) | LAH6 | MEN3 | MIX(DU) | NAX(DU) | QUB | QUP | RA2 | RE6 | RI6 | TU3 | TUM2 | TUMA2 | TUMU2 | aragub | de6 | di6 | du | dulx(DU) | er10 | ge13 | gen | gim6 | gin | ginax(DU) | gir7 | gub | guba | gubu | gup | im6 | kaš5 | kim6 | kin7 | kub | kup | kurx(DU) | kux(DU) | lah6 | men3 | mix(DU) | nax(DU) | qub | qup | ra2 | re6 | ri6 | tu3 | tum2 | tuma2 | tumu2 | ĜEN | ĜIM6 | ĜIN | ĝen | ĝim6 | ĝin | ŠA4 | ŠE13 | ša4 | še13 | ŢU3 | ţu3
U+1207B,𒁻,du / du,|DU&DU|,er₁₄ | la₄? | lah₄ | laha₄ | lalah | re₇ | ri₇ | su₈ | sub₂ | sug₂ | sup₂?
U+1207C,𒁼,du gunu,DU@g,DU@G | DU@g | GIM5 | GIR6 | GIRI6 | IM5 | IŠDU | IŠDUMX(DU@G) | KAS5 | KIM5 | SUH6 | SUHUŠ | gim5 | gir6 | giri6 | im5 | išdu | išdumx(DU@g) | kas5 | kim5 | suh6 | suhuš | ŠUHUŠ | šuhuš
U+1207D,𒁽,du sheshig,DU@s,barim | gim₄ | gir₅ | giri₅ | girim₂ | im₂ | ka₇ | kaku | kamaš | kas₄ | kaš₄ | kim₄ | lah₇ | maškimₓ | parim | raₓ | rim₄ | barim⁻ | gir₅⁻ | im₂⁻ | kaš₄⁻
U+1207E,𒁾,dub,DUB,DAB4 | DEH | DEHI | DIH | DUB | DUBA | DUBBA | DUBU | DUP | KIŠIB3 | LE'UM | MEBULUG3 | MENBULUG3 | MES2 | SIMIG | TEHI | TUB | TUP | URUD2 | URUDU2 | dab4 | deh | dehi | dih | dub | duba | dubba | dubu | dup | kišib3 | le'um | mebulug3 | menbulug3 | mes2 | simig | tehi | tub | tup | urud2 | urudu2 | ŠEN4 | šen4 | ŢUP | ţup
U+1207F,𒁿,dub × esh₂,DUB×EŠ2,DUB×EŠ2 | GAZ3 | gaz3
U+12080,𒂀,dub₂,DUB2,DIM5 | DUB2 | DUBA2 | DUBU2 | DUP2 | SAGKURINI | TIG3 | TU16 | TUB2 | TUNX(DUB2) | TUP2 | dim5 | dub2 | duba2 | dubu2 | dup2 | sagkurini | tig3 | tu16 | tub2 | tunx(DUB2) | tup2 | ŢUB2 | ţub2
U+12081,𒂁,dug,DUG,DUG | DUK | DUKA | DUQ | EBIR | EPIG2 | EPIR | GURINX(DUG) | GURUN7 | KURINX(DUG) | KURUM10 | KURUN3 | LIŢ2 | LUD | LUM3 | LUMU3 | LUT | LUTU | LUŢ | LUŢU | SI14 | TUG3 | TUK3 | TUQ3 | ULUD | URRUB | URSUB | URZUB | URŞUB | ZURZUB | dug | duk | duka | duq | ebir | epig2 | epir | gurinx(DUG) | gurun7 | kurinx(DUG) | kurum10 | kurun3 | liţ2 | lud | lum3 | lumu3 | lut | lutu | luţ | luţu | si14 | tug3 | tuk3 | tuq3 | ulud | urrub | ursub | urzub | urşub | zurzub | ŞURŞUB | şurşub | ŠIKIN2 | šikin2
U+12082,𒂂,dugud,DUGUD,DUGUD | DUGUDA | DUGUX(DUGUD) | DUKUDX(DUGUD) | GI25 | KAPTU | QAPTU | dugud | duguda | dugux(DUGUD) | dukudx(DUGUD) | gi25 | kaptu | qaptu | ĜI25 | ĝi25
U+12083,𒂃,duh,GABA,DU8 | DUDDA | DUH | GA15 | GAB | GABA | GAP | IRTU | PITRU | QAB | QAP | TAH2 | TU24 | TUH | TUHU | du8 | dudda | duh | ga15 | gab | gaba | gap | irtu | pitru | qab | qap | tah2 | tu24 | tuh | tuhu | ŢAH2 | ŢU5 | ŢUH | ţah2 | ţu5 | ţuh
U+12084,𒂄,dun,DUN,DU24 | DUN | DUNA | DUR9 | DURU9 | SAH3 | SU17 | SUL | TUN4 | ZU7 | du24 | dun | duna | dur9 | duru9 | sah3 | su17 | sul | tun4 | zu7 | ŠAH2 | ŠAHAN3 | ŠUL | šah2 | šahan3 | šul
U+12085,𒂅,dun₃,DUN3,DU5 | DUG5 | DULX(DUN3) | DUN3 | SU18 | SUG5 | TU18 | TUG8 | TUN3 | TUNA3 | du5 | dug5 | dulx(DUN3) | dun3 | su18 | sug5 | tu18 | tug8 | tun3 | tuna3 | ŢU | ţu
U+12086,𒂆,dun₃ gunu,DUN3@g,AGA3 | AĜA3 | DUN3@G | DUN3@g | GE11 | GI11 | GIG4 | GIM2 | GIN2 | GINA2 | GIĜ4 | PUŠ4 | aga3 | aĝa3 | ge11 | gi11 | gig4 | gim2 | gin2 | gina2 | giĝ4 | puš4
U+12087,𒂇,dun₃ gunu gunu,DUN3@g@g,AGA | AGU | DUN3@G@G | DUN3@g@g | IR17 | MER | MERE | MIGIR | MIR | MIRI | NIGIR | NIMGIR | NIMIRX(DUN3@G@G) | NIĜIR | TEN3 | TIN3 | UKU | aga | agu | ir17 | mer | mere | migir | mir | miri | nigir | nimgir | nimirx(DUN3@g@g) | niĝir | ten3 | tin3 | uku
U+12088,𒂈,dun₄,DUN4,DUL4 | DUN4 | MIGIR2 | NIGIR2 | NIMGIR2 | TUL6 | dul4 | dun4 | migir2 | nigir2 | nimgir2 | tul6 | ŠUDUN4 | ŠUTUL4 | ŠUTUN4 | šudun4 | šutul4 | šutun4
U+12089,𒂉,dur₂,DUR2,DUR2 | DURU2 | DURUM2 | DURUN | DURUNA | TUR7 | dur2 | duru2 | durum2 | durun | duruna | tur7 | ŢUR2 | ţur2
U+1208A,𒂊,e,E,E | EG2 | EKI | I15 | IG2 | YI3 | e | eg2 | eki | i15 | ig2 | yi3 | ŠURUX(E) | šurux(E)
U+1208B,𒂋,e × pap,E×PAP,E×PAP | PAX(|E×PAP|) | pax(|E×PAP|)
U+1208C,𒂌,e / e nun / nun,|E&E.NUN&NUN|,hilibu
U+1208D,𒂍,e₂,E2,'A3 | 'a3 | A'3 | A14 | BED | BET | BID | BIT | BIŢ | BĪTU | E'3 | E2 | ISKI | PIŢ | a'3 | a14 | bed | bet | bid | bit | biţ | bītu | e'3 | e2 | iski | piţ
U+1208E,𒂎,e₂ × a + ha + da,E2×A+HA+DA,E2×A+HA+DA | EDAKUAX(|E2×A+HA+DA|) | edakuax(|E2×A+HA+DA|) | E2×AxHAxDA | EDAKUAX(|E2×AxHAxDA|) | edakuax(|E2×AxHAxDA|)
U+1208F,𒂏,e₂ × gar,E2×GAR,E2×GAR | EGARAX(|E2×GAR|) | EĜARAX(|E2×GAR|) | egarax(|E2×GAR|) | eĝarax(|E2×GAR|) | ĜALGAX(|E2×GAR|) | ĝalgax(|E2×GAR|)
U+12090,𒂐,e₂ × mi,E2×MI,E2×MI | GAGIGX(|E2×MI|) | ITIMAX(|E2×MI|) | gagigx(|E2×MI|) | itimax(|E2×MI|)
U+12091,𒂑,e₂ × sal,E2×SAL,AMAX(|E2×SAL|) | ARHUŠX(|E2×SAL|) | E2×SAL | EMEX(|E2×SAL|) | URX(|E2×SAL|) | UŠX(|E2×SAL|) | amax(|E2×SAL|) | arhušx(|E2×SAL|) | emex(|E2×SAL|) | urx(|E2×SAL|) | ušx(|E2×SAL|)
U+12092,𒂒,e₂ × she,E2×ŠE,ARAHX(|E2×ŠE|) | E2×ŠE | ESAGX(|E2×ŠE|) | USIX(|E2×ŠE|) | arahx(|E2×ŠE|) | esagx(|E2×ŠE|) | usix(|E2×ŠE|)
U+12093,𒂓,e₂ × u,E2×U,E2×U | SADX(|E2×U|) | ULAX(|E2×U|) | sadx(|E2×U|) | ulax(|E2×U|)
U+12094,𒂔,edin,EDIN,BILX(EDIN) | BIR4 | DINX(EDIN) | EDEN | EDENA | EDIMX(EDIN) | EDIN | EDINA | ERU5 | ERUA2 | GIRX(EDIN) | GURX(EDIN) | IDENX(EDIN) | LA8 | RABITA | RI10 | RIBX(EDIN) | RU6 | bilx(EDIN) | bir4 | dinx(EDIN) | eden | edena | edimx(EDIN) | edin | edina | eru5 | erua2 | girx(EDIN) | gurx(EDIN) | idenx(EDIN) | la8 | rabita | ri10 | ribx(EDIN) | ru6
U+12095,𒂕,egir,EGIR,EGER | EGERA | EGIR | EĜER | EĜERA | EĜIR | LUMHAX(EGIR) | TUM13 | eger | egera | egir | eĝer | eĝera | eĝir | lumhax(EGIR) | tum13
U+12096,𒂖,el,EL,EL | ELE2 | EŠ14 | IL5 | ILI5 | SIKIL | el | ele2 | eš14 | il5 | ili5 | sikil
U+12097,𒂗,en,EN,ADX(EN) | AMX(EN) | EN | ENA | ENI | ENU | IN4 | RU12 | URU16 | URUNX(EN) | adx(EN) | amx(EN) | en | ena | eni | enu | in4 | ru12 | uru16 | urunx(EN)
U+12098,𒂘,en × gan₂,EN×GAN2,EN×GAN2
U+12099,𒂙,en × gan₂ tenu,EN×GAN2@t,BAR8 | BUR14 | BURU14 | EBUR | EBURUX(|EN×GAN2@T|) | ENKAR | ENKARA | EN×GAN2@T | EN×GAN2@t | EŠGIRI2 | EŠKIRI2 | GIŠŠIR | RU13 | SULLIM | bar8 | bur14 | buru14 | ebur | eburux(|EN×GAN2@t|) | enkar | enkara | ešgiri2 | eškiri2 | giššir | ru13 | sullim | ĜEŠŠIR | ĜIŠŠIR | ĝeššir | ĝiššir | ŠIBIR2 | šibir2
U+1209A,𒂚,en × me,EN×ME,ENME | ENSI3 | EN×ME | enme | ensi3
U+1209B,𒂛,en crossing en,|EN%EN|,adamen₅ | adamin₅ | akarₓ | dalhamun₂ | hamunₓ | mereₓ | merimer | merimeri | mermer | mermeri | nigir₃ | nimgigri? | nimgirgirri | urbigu₂ | urbingu₂
U+1209C,𒂜,en opposing en,EN,ADX(EN) | AMX(EN) | EN | ENA | ENI | ENU | IN4 | RU12 | URU16 | URUNX(EN) | adx(EN) | amx(EN) | en | ena | eni | enu | in4 | ru12 | uru16 | urunx(EN)
U+1209D,𒂝,en squared,EN,ADX(EN) | AMX(EN) | EN | ENA | ENI | ENU | IN4 | RU12 | URU16 | URUNX(EN) | adx(EN) | amx(EN) | en | ena | eni | enu | in4 | ru12 | uru16 | urunx(EN)
U+1209E,𒂞,eren,EREN,EREN | ERENA | ERIN | ERINA | SUX(EREN) | eren | erena | erin | erina | sux(EREN) | ŠE22 | ŠEŠ4 | še22 | šeš4
U+1209F,𒂟,erin₂,ERIN2,BIR3 | EREM | EREN2 | ERENA2 | ERIM | ERIN2 | ERINA2 | HIŠ3 | LAH2 | LIH2 | NURA | NURI | NURU | PAR5 | PIR2 | RIN2 | RINA2 | SAP2 | SURX(ERIN2) | TAM5 | UDAX(ERIN2) | ZAB | ZALAG2 | ZAP | bir3 | erem | eren2 | erena2 | erim | erin2 | erina2 | hiš3 | lah2 | lih2 | nura | nuri | nuru | par5 | pir2 | rin2 | rina2 | sap2 | surx(ERIN2) | tam5 | udax(ERIN2) | zab | zalag2 | zap | ŞAB | ŞAP | ŞAPA | ŞĀBU | şab | şap | şapa | şābu
U+120A0,𒂠,esh₂,EŠ2,EGE | EGER2 | EGI | EGIR2 | EŠ2 | EŠE2 | GE7 | GER15 | GI7 | GIR15 | HUG | HUN | HUĜ | IZID | IŠ9 | NAH2 | SAMANX(EŠ2) | UB2 | UBA2 | UP2 | ege | eger2 | egi | egir2 | eš2 | eše2 | ge7 | ger15 | gi7 | gir15 | hug | hun | huĝ | izid | iš9 | nah2 | samanx(EŠ2) | ub2 | uba2 | up2 | ĜE7 | ĜER15 | ĜI7 | ĜIR15 | ĝe7 | ĝer15 | ĝi7 | ĝir15 | ŞI9 | şi9 | ŠA16 | ŠE3 | ŠI4 | ŠU3 | ša16 | še3 | ši4 | šu3
U+120A1,𒂡,ezen,EZEN,ASILALX(EZEN) | ASILAX(EZEN) | ASILX(EZEN) | BADX(EZEN) | ESEN | ESIN | EZEM | EZEMA | EZEN | EZENA | EZIN | IZEN | IZIM | IZIN | IZUN | SER3 | SIDRA | SILX(EZEN) | SIR3 | SIRDA | SIRIM2 | asilalx(EZEN) | asilax(EZEN) | asilx(EZEN) | badx(EZEN) | esen | esin | ezem | ezema | ezen | ezena | ezin | izen | izim | izin | izun | ser3 | sidra | silx(EZEN) | sir3 | sirda | sirim2 | ŠER3 | ŠIR3 | šer3 | šir3
U+120A2,𒂢,ezen × a,EZEN×A,ASIL3 | ASILA3 | ASILAL3 | ASILLAL3 | EZEN×A | MURGIŠUR | NUMGIŠUR | SIL6 | SILAL | asil3 | asila3 | asilal3 | asillal3 | murgišur | numgišur | sil6 | silal
U+120A3,𒂣,ezen × a + lal,EZEN×A+LAL,ASIL5 | ASILA5 | ASILAL5 | EZEN×A+LAL | SIL7 | asil5 | asila5 | asilal5 | sil7 | EZEN×AxLAL
U+120A4,𒂤,ezen × a + lal × lal,|EZEN×(A.LAL₂)|,asil₄ | asila₄ | asilal₄ | sil₉
U+120A5,𒂥,ezen × an,EZEN×AN,EZEN×AN | UX(|EZEN×AN|) | ux(|EZEN×AN|)
U+120A6,𒂦,ezen × bad,EZEN×BAD,ANX(|EZEN×BAD|) | BA8 | BAD3 | BADA3 | BAT3 | DUR8 | DURUM | EZEN×BAD | U9 | UBX(|EZEN×BAD|) | UG5 | UGA5 | UK5 | UN3 | UQ5 | UĜ5 | anx(|EZEN×BAD|) | ba8 | bad3 | bada3 | bat3 | dur8 | durum | u9 | ubx(|EZEN×BAD|) | ug5 | uga5 | uk5 | un3 | uq5 | uĝ5
U+120A7,𒂧,ezen × dun₃ gunu,EZEN×DUN3@g,DUGIN | DUGINA | EZEN×DUN3@G | EZEN×DUN3@g | dugin | dugina
U+120A8,𒂨,ezen × dun₃ gunu gunu,EZEN×DUN3@g@g,DUGIN2 | DUGINA2 | EZEN×DUN3@G@G | EZEN×DUN3@g@g | MIR5 | dugin2 | dugina2 | mir5
U+120A9,𒂩,ezen × ha,EZEN×HA,AKŠAKX(|EZEN×HA|) | EZEN×HA | UDNIMX(|EZEN×HA|) | akšakx(|EZEN×HA|) | udnimx(|EZEN×HA|)
U+120AA,𒂪,ezen × ha gunu,EZEN×HA@g,EZEN×HA@g
U+120AB,𒂫,ezen × igi gunu,EZEN×IGI@g,EZEN×IGI@G | EZEN×IGI@g | GUMLE | KISIG2 | UDINIM | UDNIM | gumle | kisig2 | udinim | udnim
U+120AC,𒂬,ezen × kaskal,EZEN×KASKAL,ASILAX(|EZEN×KASKAL|) | EZEN×KASKAL | KUM3 | SIL5 | SUD5 | UBAR | UBARA | UL5 | UMBARA | UN4 | USIGI | asilax(|EZEN×KASKAL|) | kum3 | sil5 | sud5 | ubar | ubara | ul5 | umbara | un4 | usigi
U+120AD,𒂭,ezen × kaskal squared,EZEN×KASKAL,ASILAX(|EZEN×KASKAL|) | EZEN×KASKAL | KUM3 | SIL5 | SUD5 | UBAR | UBARA | UL5 | UMBARA | UN4 | USIGI | asilax(|EZEN×KASKAL|) | kum3 | sil5 | sud5 | ubar | ubara | ul5 | umbara | un4 | usigi
U+120AE,𒂮,ezen × ku₃,EZEN×KU3,EZEN×KU3 | KISIG | KISIGA | KIŠAG | SILALX(|EZEN×KU3|) | UDNIMX(|EZEN×KU3|) | kisig | kisiga | kišag | silalx(|EZEN×KU3|) | udnimx(|EZEN×KU3|)
U+120AF,𒂯,ezen × la,EZEN×LA,EZEN×LA | GUBALAGA | GUBLAGA | LABAN | gubalaga | gublaga | laban
U+120B0,𒂰,ezen × lal × lal,|EZEN×LAL₂|,asil | asila | asilal | silₓ | asila⁻
U+120B1,𒂱,ezen × li,EZEN×LI,EZEN×LI | LIBIN | libin
U+120B2,𒂲,ezen × lu,EZEN×LU,EZEN×LU | LUBUN | lubun
U+120B3,𒂳,ezen × u₂,EZEN×U2,EZEN×U2 | USIL | usil
U+120B4,𒂴,ezen × ud,EZEN×UD,ASIL6 | ASILA6 | ASILAL6 | EZEN×UD | SIL10 | SILLAL | asil6 | asila6 | asilal6 | sil10 | sillal
